sample_uid	C1d	C17d	C31	C42.2	C1	C21	C17e	C21ac	C3cg	C17f	C1bi	1853_C	1840_C	1365_C	C17	C3.12	C1b	1842_C	C3cw	C3	C31.9	C1k	1857_C	1841_C	1846_C	1863_C	1844_C	1860_C	1849_C	C21k	C31.10	1858_C	1422_C	1866_C	1865_C	1859_C	1861_C	1862_C	1875_C	1876_C	1867_C	1864_C	1839_C	1855_C	1845_C	1843_C	1850_C	1848_C	1847_C	1872_C	1852_C	1854_C	C31a	1402_C	1424_C	1874_C	1851_C	1873_C	1856_C	C21.16	D1	D4	D6	D1ab	1833_D	D4d	1835_D	1834_D	1836_D	1837_D	D17d	D17j	1838_D	D17e	D17l	1868_D	1869_D	D5m	D17c	D17k	1870_D	1871_D	1877_D	G3l	G3k	G3m
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10850	8123	3843	1494	492	0	202	269	213	0	0	0	114	0	0	0	0	0	0	0	0	0	0	50	16	8
50	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17086	11618	6131	2493	714	920	355	418	304	226	0	0	198	0	0	0	0	0	0	0	0	0	0	66	14	14
58	7	138	152	0	0	17	6	5	0	20	0	0	14	0	0	0	0	0	0	0	28	0	0	0	5	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	0	15	22	10	5	9	7	6	10	6	6	6	6	0	5	0	4	0	0	10185	7550	3907	1485	426	505	301	286	143	135	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
51	27	155	238	0	0	22	22	16	0	31	0	4	18	0	0	0	0	15	0	0	12	0	0	15	11	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	23	4	12	14	7	9	9	0	5	4	0	0	7	0	6	0	4	4	13707	9879	5205	1885	752	690	416	350	219	155	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
47	35910	0	0	2247	1692	0	0	0	447	0	456	0	0	335	0	0	265	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	34941	0	0	2187	1630	0	0	0	409	0	282	0	0	324	0	0	375	0	267	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	32636	0	0	3012	2068	0	0	0	372	0	457	0	0	283	0	0	268	0	253	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	33900	0	0	3147	2080	0	0	0	335	0	424	0	0	270	0	0	356	0	258	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	11712	690	676	623	423	346	79	0	141	0	146	0	0	96	0	331	0	0	0	218	0	0	0	0	0	183	0	0	0	0	0	0	89	101	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1662	1373	772	245	84	87	42	32	37	0	136	123	0	76	66	79	68	42	56	36	43	0	27	0	0	0
53	21765	2041	1703	1067	834	649	190	224	206	202	0	197	192	202	0	866	0	0	0	621	0	0	0	0	0	451	0	0	0	0	0	0	244	215	227	0	0	0	0	0	187	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4102	3110	1556	563	189	212	151	72	142	55	253	228	0	156	142	110	104	136	103	99	79	61	0	5	0	0
59	0	9936	7166	0	0	2461	889	872	0	797	0	646	630	0	504	0	0	405	0	0	284	0	285	276	242	0	213	226	197	175	150	143	0	0	0	0	0	0	129	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	0	11589	7835	0	0	2836	963	1037	0	842	0	839	647	0	610	0	0	416	0	0	343	0	330	266	293	0	234	221	234	174	193	187	0	0	0	246	210	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	38858	0	0	0	813	0	0	0	309	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	37776	0	0	0	961	0	0	0	308	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
