Date,Sample.ID,colony_id,ID1,ID2,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Fragment.Number,Sample.Type,Temp.Cat,Chamber.Vol.L,Surf.Area.cm2,Start.time,Stop.time,Light_Dark,Light_Level,Light_Value,Notes,QC
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,15:01,15:40,Dark,1,0,,Times on Computer are 
20180914,PA-1326_20180914,PA-1326_20180914,PA-1326,PA1,1326,3,4,1,PI,Pacuta,1,Sample,26.4,0.605,30,15:01,15:40,Dark,1,0,,
20180914,PA-1059_20180914,PA-1059_20180914,PA-1059,PA2,1059,5,6,1,PI,Pacuta,2,Sample,26.4,0.605,30,15:01,15:40,Dark,1,0,,
20180914,PA-2668_20180914,PA-2668_20180914,PA-2668,PA3,2668,7,9,2,PI,Pacuta,3,Sample,26.4,0.605,30,15:01,15:40,Dark,1,0,,
20180914,PA-1547_20180914,PA-1547_20180914,PA-1547,PA4,1547,9,11,2,PI,Pacuta,4,Sample,26.4,0.6,30,15:01,15:40,Dark,1,0,,
20180914,BK-2_20180914,BK-2_20180914,BK-2,BK2,NA,6,7,2,PI,BK,2,Blank,26.4,0.61,NA,15:01,15:40,Dark,1,0,,
20180914,MC-1128_20180914,MC-1128_20180914,MC-1128,MC1,1128,2,3,1,PI,Mcapitata,1,Sample,26.4,0.605,30,15:01,15:40,Dark,1,0,,
20180914,MC-1568_20180914,MC-1568_20180914,MC-1568,MC2,1568,4,5,1,PI,Mcapitata,2,Sample,26.4,0.605,30,15:01,15:40,Dark,1,0,,
20180914,MC-2986_20180914,MC-2986_20180914,MC-2986,MC3,2986,8,10,2,PI,Mcapitata,3,Sample,26.4,0.6,30,15:01,15:40,Dark,1,0,,
20180914,MC-1498_20180914,MC-1498_20180914,MC-1498,MC4,1498,10,12,2,PI,Mcapitata,4,Sample,26.4,0.595,30,15:01,15:40,Dark,1,0,,
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,16:17,16:49,Light,2,21,,
20180914,PA-1326_20180914,PA-1326_20180914,PA-1326,PA1,1326,3,4,1,PI,Pacuta,1,Sample,26.4,0.605,30,16:17,16:49,Light,2,21,,
20180914,PA-1059_20180914,PA-1059_20180914,PA-1059,PA2,1059,5,6,1,PI,Pacuta,2,Sample,26.4,0.605,30,16:17,16:49,Light,2,21,,
20180914,PA-2668_20180914,PA-2668_20180914,PA-2668,PA3,2668,7,9,2,PI,Pacuta,3,Sample,26.4,0.605,30,16:17,16:49,Light,2,21,,
20180914,PA-1547_20180914,PA-1547_20180914,PA-1547,PA4,1547,9,11,2,PI,Pacuta,4,Sample,26.4,0.6,30,16:17,16:49,Light,2,21,,
20180914,BK-2_20180914,BK-2_20180914,BK-2,BK2,NA,6,7,2,PI,BK,2,Blank,26.4,0.61,NA,16:17,16:49,Light,2,21,,
20180914,MC-1128_20180914,MC-1128_20180914,MC-1128,MC1,1128,2,3,1,PI,Mcapitata,1,Sample,26.4,0.605,30,16:17,16:49,Light,2,21,,
20180914,MC-1568_20180914,MC-1568_20180914,MC-1568,MC2,1568,4,5,1,PI,Mcapitata,2,Sample,26.4,0.605,30,16:17,16:49,Light,2,21,,
20180914,MC-2986_20180914,MC-2986_20180914,MC-2986,MC3,2986,8,10,2,PI,Mcapitata,3,Sample,26.4,0.6,30,16:17,16:49,Light,2,21,,
20180914,MC-1498_20180914,MC-1498_20180914,MC-1498,MC4,1498,10,12,2,PI,Mcapitata,4,Sample,26.4,0.595,30,16:17,16:49,Light,2,21,,
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,16:53,17:23,Light,3,43,,
20180914,PA-1326_20180914,PA-1326_20180914,PA-1326,PA1,1326,3,4,1,PI,Pacuta,1,Sample,26.4,0.605,30,16:53,17:23,Light,3,43,,
20180914,PA-1059_20180914,PA-1059_20180914,PA-1059,PA2,1059,5,6,1,PI,Pacuta,2,Sample,26.4,0.605,30,16:53,17:23,Light,3,43,,
20180914,PA-2668_20180914,PA-2668_20180914,PA-2668,PA3,2668,7,9,2,PI,Pacuta,3,Sample,26.4,0.605,30,16:53,17:23,Light,3,43,,
20180914,PA-1547_20180914,PA-1547_20180914,PA-1547,PA4,1547,9,11,2,PI,Pacuta,4,Sample,26.4,0.6,30,16:53,17:23,Light,3,43,,
20180914,BK-2_20180914,BK-2_20180914,BK-2,BK2,NA,6,7,2,PI,BK,2,Blank,26.4,0.61,NA,16:53,17:23,Light,3,43,,
20180914,MC-1128_20180914,MC-1128_20180914,MC-1128,MC1,1128,2,3,1,PI,Mcapitata,1,Sample,26.4,0.605,30,16:53,17:23,Light,3,43,,
20180914,MC-1568_20180914,MC-1568_20180914,MC-1568,MC2,1568,4,5,1,PI,Mcapitata,2,Sample,26.4,0.605,30,16:53,17:23,Light,3,43,,
20180914,MC-2986_20180914,MC-2986_20180914,MC-2986,MC3,2986,8,10,2,PI,Mcapitata,3,Sample,26.4,0.6,30,16:53,17:23,Light,3,43,,
20180914,MC-1498_20180914,MC-1498_20180914,MC-1498,MC4,1498,10,12,2,PI,Mcapitata,4,Sample,26.4,0.595,30,16:53,17:23,Light,3,43,,
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,17:26,17:58,Dark,4,79,,
20180914,PA-1326_20180914,PA-1326_20180914,PA-1326,PA1,1326,3,4,1,PI,Pacuta,1,Sample,26.4,0.605,30,17:26,17:58,Dark,4,79,,
20180914,PA-1059_20180914,PA-1059_20180914,PA-1059,PA2,1059,5,6,1,PI,Pacuta,2,Sample,26.4,0.605,30,17:26,17:58,Dark,4,79,,
20180914,PA-2668_20180914,PA-2668_20180914,PA-2668,PA3,2668,7,9,2,PI,Pacuta,3,Sample,26.4,0.605,30,17:26,17:58,Dark,4,79,,
20180914,PA-1547_20180914,PA-1547_20180914,PA-1547,PA4,1547,9,11,2,PI,Pacuta,4,Sample,26.4,0.6,30,17:26,17:58,Dark,4,79,,
20180914,BK-2_20180914,BK-2_20180914,BK-2,BK2,NA,6,7,2,PI,BK,2,Blank,26.4,0.61,NA,17:26,17:58,Dark,4,79,,
20180914,MC-1128_20180914,MC-1128_20180914,MC-1128,MC1,1128,2,3,1,PI,Mcapitata,1,Sample,26.4,0.605,30,17:26,17:58,Dark,4,79,,
20180914,MC-1568_20180914,MC-1568_20180914,MC-1568,MC2,1568,4,5,1,PI,Mcapitata,2,Sample,26.4,0.605,30,17:26,17:58,Dark,4,79,,
20180914,MC-2986_20180914,MC-2986_20180914,MC-2986,MC3,2986,8,10,2,PI,Mcapitata,3,Sample,26.4,0.6,30,17:26,17:58,Dark,4,79,,
20180914,MC-1498_20180914,MC-1498_20180914,MC-1498,MC4,1498,10,12,2,PI,Mcapitata,4,Sample,26.4,0.595,30,17:26,17:58,Dark,4,79,,
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,18:00,18:34,Light,5,110,,
20180914,PA-1326_20180914,PA-1326_20180914,PA-1326,PA1,1326,3,4,1,PI,Pacuta,1,Sample,26.4,0.605,30,18:00,18:34,Light,5,110,,
20180914,PA-1059_20180914,PA-1059_20180914,PA-1059,PA2,1059,5,6,1,PI,Pacuta,2,Sample,26.4,0.605,30,18:00,18:34,Light,5,110,,
20180914,PA-2668_20180914,PA-2668_20180914,PA-2668,PA3,2668,7,9,2,PI,Pacuta,3,Sample,26.4,0.605,30,18:00,18:34,Light,5,110,,
20180914,PA-1547_20180914,PA-1547_20180914,PA-1547,PA4,1547,9,11,2,PI,Pacuta,4,Sample,26.4,0.6,30,18:00,18:34,Light,5,110,,
20180914,BK-2_20180914,BK-2_20180914,BK-2,BK2,NA,6,7,2,PI,BK,2,Blank,26.4,0.61,NA,18:00,18:34,Light,5,110,,
20180914,MC-1128_20180914,MC-1128_20180914,MC-1128,MC1,1128,2,3,1,PI,Mcapitata,1,Sample,26.4,0.605,30,18:00,18:34,Light,5,110,,
20180914,MC-1568_20180914,MC-1568_20180914,MC-1568,MC2,1568,4,5,1,PI,Mcapitata,2,Sample,26.4,0.605,30,18:00,18:34,Light,5,110,,
20180914,MC-2986_20180914,MC-2986_20180914,MC-2986,MC3,2986,8,10,2,PI,Mcapitata,3,Sample,26.4,0.6,30,18:00,18:34,Light,5,110,,
20180914,MC-1498_20180914,MC-1498_20180914,MC-1498,MC4,1498,10,12,2,PI,Mcapitata,4,Sample,26.4,0.595,30,18:00,18:34,Light,5,110,,
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,19:07,19:37,Light,6,160,,
20180914,PA-1326_20180914,PA-1326_20180914,PA-1326,PA1,1326,3,4,1,PI,Pacuta,1,Sample,26.4,0.605,30,19:07,19:37,Light,6,160,,
20180914,PA-1059_20180914,PA-1059_20180914,PA-1059,PA2,1059,5,6,1,PI,Pacuta,2,Sample,26.4,0.605,30,19:07,19:37,Light,6,160,,
20180914,PA-2668_20180914,PA-2668_20180914,PA-2668,PA3,2668,7,9,2,PI,Pacuta,3,Sample,26.4,0.605,30,19:07,19:37,Light,6,160,,
20180914,PA-1547_20180914,PA-1547_20180914,PA-1547,PA4,1547,9,11,2,PI,Pacuta,4,Sample,26.4,0.6,30,19:07,19:37,Light,6,160,,
20180914,BK-2_20180914,BK-2_20180914,BK-2,BK2,NA,6,7,2,PI,BK,2,Blank,26.4,0.61,NA,19:07,19:37,Light,6,160,,
20180914,MC-1128_20180914,MC-1128_20180914,MC-1128,MC1,1128,2,3,1,PI,Mcapitata,1,Sample,26.4,0.605,30,19:07,19:37,Light,6,160,,
20180914,MC-1568_20180914,MC-1568_20180914,MC-1568,MC2,1568,4,5,1,PI,Mcapitata,2,Sample,26.4,0.605,30,19:07,19:37,Light,6,160,,
20180914,MC-2986_20180914,MC-2986_20180914,MC-2986,MC3,2986,8,10,2,PI,Mcapitata,3,Sample,26.4,0.6,30,19:07,19:37,Light,6,160,,
20180914,MC-1498_20180914,MC-1498_20180914,MC-1498,MC4,1498,10,12,2,PI,Mcapitata,4,Sample,26.4,0.595,30,19:07,19:37,Light,6,160,,
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,20:13,20:43,Dark,7,270,,
20180914,PA-1326_20180914,PA-1326_20180914,PA-1326,PA1,1326,3,4,1,PI,Pacuta,1,Sample,26.4,0.605,30,20:13,20:43,Dark,7,270,,
20180914,PA-1059_20180914,PA-1059_20180914,PA-1059,PA2,1059,5,6,1,PI,Pacuta,2,Sample,26.4,0.605,30,20:13,20:43,Dark,7,270,,
20180914,PA-2668_20180914,PA-2668_20180914,PA-2668,PA3,2668,7,9,2,PI,Pacuta,3,Sample,26.4,0.605,30,20:13,20:43,Dark,7,270,,
20180914,PA-1547_20180914,PA-1547_20180914,PA-1547,PA4,1547,9,11,2,PI,Pacuta,4,Sample,26.4,0.6,30,20:13,20:43,Dark,7,270,,
20180914,BK-2_20180914,BK-2_20180914,BK-2,BK2,NA,6,7,2,PI,BK,2,Blank,26.4,0.61,NA,20:13,20:43,Dark,7,270,,
20180914,MC-1128_20180914,MC-1128_20180914,MC-1128,MC1,1128,2,3,1,PI,Mcapitata,1,Sample,26.4,0.605,30,20:13,20:43,Dark,7,270,,
20180914,MC-1568_20180914,MC-1568_20180914,MC-1568,MC2,1568,4,5,1,PI,Mcapitata,2,Sample,26.4,0.605,30,20:13,20:43,Dark,7,270,,
20180914,MC-2986_20180914,MC-2986_20180914,MC-2986,MC3,2986,8,10,2,PI,Mcapitata,3,Sample,26.4,0.6,30,20:13,20:43,Dark,7,270,,
20180914,MC-1498_20180914,MC-1498_20180914,MC-1498,MC4,1498,10,12,2,PI,Mcapitata,4,Sample,26.4,0.595,30,20:13,20:43,Dark,7,270,,
20180914,BK-1_20180914,BK-1_20180914,BK-1,BK1,NA,1,1,1,PI,BK,1,Blank,26.4,0.61,NA,20:46,21:15,Light,8,473,,
