Well,Chl:630,Chl:663,Chl:750
A1,0.027,0.027,0.028
B1,0.085,0.25,0.028
C1,0.112,0.358,0.028
D1,0.079,0.228,0.028
E1,0.188,0.661,0.028
F1,0.064,0.159,0.028
G1,0.042,0.082,0.028
H1,0.065,0.174,0.029
A2,0.028,0.027,0.028
B2,0.088,0.264,0.028
C2,0.118,0.381,0.028
D2,0.083,0.243,0.028
E2,0.201,0.72,0.028
F2,0.066,0.168,0.028
G2,0.043,0.085,0.028
H2,0.067,0.184,0.029
A3,0.076,0.218,0.028
B3,0.059,0.15,0.028
C3,0.066,0.162,0.028
D3,0.224,0.797,0.029
E3,0.053,0.122,0.028
F3,0.077,0.21,0.028
G3,0.055,0.119,0.029
H3,0.062,0.156,0.028
A4,0.08,0.233,0.028
B4,0.061,0.159,0.028
C4,0.07,0.174,0.029
D4,0.238,0.856,0.029
E4,0.056,0.13,0.029
F4,0.081,0.223,0.029
G4,0.055,0.124,0.028
H4,0.064,0.164,0.028
A5,0.099,0.296,0.029
B5,0.121,0.393,0.028
C5,0.08,0.232,0.028
D5,0.061,0.164,0.028
E5,0.066,0.167,0.03
F5,0.068,0.18,0.028
G5,0.056,0.134,0.029
H5,0.075,0.209,0.028
A6,0.105,0.316,0.031
B6,0.126,0.413,0.029
C6,0.083,0.245,0.029
D6,0.062,0.171,0.028
E6,0.065,0.174,0.028
F6,0.07,0.19,0.028
G6,0.057,0.141,0.028
H6,0.079,0.224,0.029
A7,0.124,0.407,0.029
B7,0.048,0.097,0.029
C7,0.055,0.133,0.028
D7,0.086,0.269,0.028
E7,0.059,0.151,0.028
F7,0.104,0.314,0.028
G7,0.063,0.165,0.028
H7,0.047,0.114,0.029
A8,0.132,0.436,0.029
B8,0.05,0.102,0.028
C8,0.058,0.14,0.029
D8,0.092,0.29,0.029
E8,0.061,0.158,0.028
F8,0.111,0.335,0.03
G8,0.065,0.173,0.028
H8,0.048,0.121,0.028
A9,0.072,0.196,0.028
B9,0.11,0.377,0.028
C9,0.05,0.111,0.028
D9,0.063,0.172,0.028
E9,0.052,0.125,0.028
F9,0.142,0.445,0.03
G9,0.073,0.207,0.028
H9,0.071,0.196,0.028
A10,0.075,0.21,0.028
B10,0.117,0.404,0.029
C10,0.05,0.114,0.028
D10,0.066,0.184,0.028
E10,0.055,0.131,0.028
F10,0.147,0.464,0.029
G10,0.076,0.218,0.028
H10,0.073,0.205,0.028
