Well,Plug_ID
A1,2384
A2,2384
A3,1273
A4,1273
A5,2079
A6,2079
A7,1573
A8,1573
A9,1908
A10,1908
A11,NA
A12,NA
B1,1135
B2,1135
B3,1566
B4,1566
B5,1565
B6,1565
B7,2857
B8,2857
B9,NA
B10,NA
B11,NA
B12,NA
C1,NA
C2,NA
C3,NA
C4,NA
C5,NA
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,NA
D2,NA
D3,NA
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA
