NCBI_Sample_Name,NCBI_Sample_Title,host,Sample.Date,geo_loc_name,env_broad_scale,lat_lon,env_medium,env_local_scale,organism
1036_ATAC,1036_ATAC_HoloInt,Montipora capitata,2018-10-20,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1754_HTAC,1754_HTAC_HoloInt,Montipora capitata,2018-11-17,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1038_ATAC,1038_ATAC_HoloInt,Montipora capitata,2018-10-20,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
2202_HTHC,2202_HTHC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1042_ATAC,1042_ATAC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
2305_HTHC,2305_HTHC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1044_ATAC,1044_ATAC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1045_ATAC,1045_ATAC_HoloInt,Pocillopora acuta,2018-12-15,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1046_ATAC,1046_ATAC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
2862_ATHC,2862_ATHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1048_ATAC,1048_ATAC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1260_ATHC,1260_ATHC_HoloInt,Montipora capitata,2018-10-20,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
2561_ATHC,2561_ATHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1052_ATAC,1052_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1053_ATAC,1053_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1054_ATAC,1054_ATAC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1056_ATAC,1056_ATAC_HoloInt,Pocillopora acuta,2018-12-15,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1057_ATAC,1057_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1131_HTHC,1131_HTHC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1732_HTHC,1732_HTHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
2743_ATHC,2743_ATHC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1061_ATAC,1061_ATAC_HoloInt,Montipora capitata,2018-09-23,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1063_ATAC,1063_ATAC_HoloInt,Montipora capitata,2019-01-12,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1065_ATAC,1065_ATAC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1066_ATAC,1066_ATAC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1067_ATAC,1067_ATAC_HoloInt,Montipora capitata,2018-09-29,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1071_HTHC,1071_HTHC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1219_ATHC,1219_ATHC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1075_ATAC,1075_ATAC_HoloInt,Pocillopora acuta,2019-01-12,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
2550_ATHC,2550_ATHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1077_ATAC,1077_ATAC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1765_HTAC,1765_HTAC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1079_ATAC,1079_ATAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1080_ATAC,1080_ATAC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1536_HTAC,1536_HTAC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
2993_ATHC,2993_ATHC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1084_ATAC,1084_ATAC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1085_HTHC,1085_HTHC_HoloInt,Montipora capitata,2018-10-20,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1086_ATAC,1086_ATAC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1087_ATAC,1087_ATAC_HoloInt,Pocillopora acuta,2018-12-15,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1088_ATAC,1088_ATAC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1238_HTHC,1238_HTHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1091_HTHC,1091_HTHC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1092_HTHC,1092_HTHC_HoloInt,Montipora capitata,2018-10-20,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1094_HTHC,1094_HTHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1559_ATAC,1559_ATAC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1098_HTHC,1098_HTHC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1099_ATAC,1099_ATAC_HoloInt,Montipora capitata,2018-10-06,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1100_ATAC,1100_ATAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
2026_HTAC,2026_HTAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1102_ATAC,1102_ATAC_HoloInt,Montipora capitata,2019-01-12,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1060_ATAC,1060_ATAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1104_ATAC,1104_ATAC_HoloInt,Montipora capitata,2018-09-23,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1105_ATAC,1105_ATAC_HoloInt,Montipora capitata,2018-11-19,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1106_ATAC,1106_ATAC_HoloInt,Montipora capitata,2019-01-12,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1478_HTAC,1478_HTAC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1110_ATAC,1110_ATAC_HoloInt,Montipora capitata,2018-09-22,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1111_ATAC,1111_ATAC_HoloInt,Pocillopora acuta,2019-01-12,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1331_HTHC,1331_HTHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1115_ATAC,1115_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1116_ATAC,1116_ATAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1117_ATAC,1117_ATAC_HoloInt,Montipora capitata,2018-10-06,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1118_ATAC,1118_ATAC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1119_ATAC,1119_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1306_HTAC,1306_HTAC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
2564_ATHC,2564_ATHC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1122_HTHC,1122_HTHC_HoloInt,Montipora capitata,2018-10-06,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1123_ATAC,1123_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1303_HTAC,1303_HTAC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1296_ATHC,1296_ATHC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1127_HTHC,1127_HTHC_HoloInt,Montipora capitata,2018-09-29,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
2995_ATHC,2995_ATHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1130_HTHC,1130_HTHC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1471_ATAC,1471_ATAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1133_HTHC,1133_HTHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1135_HTHC,1135_HTHC_HoloInt,Montipora capitata,2019-01-12,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1136_ATHC,1136_ATHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
2197_ATHC,2197_ATHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1779_ATAC,1779_ATAC_HoloInt,Montipora capitata,2018-10-20,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
2873_ATHC,2873_ATHC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1142_ATHC,1142_ATHC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1143_HTHC,1143_HTHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1196_ATAC,1196_ATAC_HoloInt,Montipora capitata,2018-09-23,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1146_ATHC,1146_ATHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1225_HTAC,1225_HTAC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
2861_ATHC,2861_ATHC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1149_ATHC,1149_ATHC_HoloInt,Pocillopora acuta,2019-01-12,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
2064_HTAC,2064_HTAC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1156_ATHC,1156_ATHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1157_ATHC,1157_ATHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1644_ATAC,1644_ATAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1162_HTHC,1162_HTHC_HoloInt,Montipora capitata,2018-11-03,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1163_HTHC,1163_HTHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1168_HTHC,1168_HTHC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1165_HTHC,1165_HTHC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1166_ATAC,1166_ATAC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1561_ATAC,1561_ATAC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1220_ATHC,1220_ATHC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1170_HTHC,1170_HTHC_HoloInt,Pocillopora acuta,2018-11-03,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1171_HTHC,1171_HTHC_HoloInt,Montipora capitata,2018-10-06,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1174_HTHC,1174_HTHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1175_ATHC,1175_ATHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
2000_HTAC,2000_HTAC_HoloInt,Montipora capitata,2018-09-22,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
2300_HTHC,2300_HTHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1180_ATHC,1180_ATHC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1181_ATAC,1181_ATAC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1182_HTHC,1182_HTHC_HoloInt,Montipora capitata,2018-09-23,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1184_HTHC,1184_HTHC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1185_HTHC,1185_HTHC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1186_ATHC,1186_ATHC_HoloInt,Montipora capitata,2019-01-12,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1187_ATAC,1187_ATAC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1188_HTHC,1188_HTHC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1189_ATAC,1189_ATAC_HoloInt,Montipora capitata,2018-09-29,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1191_HTHC,1191_HTHC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1194_ATHC,1194_ATHC_HoloInt,Pocillopora acuta,2018-10-20,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
