Well,Plug_ID
A1,BK
A2,BK 
A3,1492
A4,1492
A5,1281
A6,1281
A7,2164
A8,2164
A9,NA
A10,NA
A11,1572
A12,1572
B1,NA
B2,NA
B3,1679
B4,1679
B5,1094
B6,1094
B7,1626
B8,1626
B9,1149
B10,1149
B11,2208
B12,2208
C1,1578
C2,1578
C3,3000
C4,3000
C5,1075
C6,1075
C7,1772
C8,1772
C9,NA
C10,NA
C11,1735
C12,1735
D1,NA
D2,NA
D3,NA
D4,NA
D5,1713
D6,1713
D7,1052
D8,1052
D9,2062
D10,2062
D11,1598
D12,1598
E1,1480
E2,1480
E3,2372
E4,2372
E5,2011
E6,2011
E7,1488
E8,1488
E9,1241
E10,1241
E11,NA
E12,NA
F1,1197
F2,1197
F3,NA
F4,NA
F5,1730
F6,1730
F7,1336
F8,1336
F9,1215
F10,1215
F11,2301
F12,2301
G1,2751
G2,2751
G3,2744
G4,2744
G5,2876
G6,2876
G7,NA
G8,NA
G9,NA
G10,NA
G11,1111
G12,1111
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,1247
H8,1247
H9,1063
H10,1063
H11,1473
H12,1473
